cardano,algorand,cosmos,aptos,basic-attention-token,binancecoin,bitcoin,polkadot,ethereum,matic-network,alien-worlds,tether,tezos,wax,harmony,nexo,usd-coin,solana,bitsong,coinary-token,gala,immutable-x,celestia,gods-unchained,octorand,pyth-network,sentinel,jackal-protocol,arbitrum,osmosis,hivemapper,helium,dymension,sei-network,saga-2,ronin,nim-network,sui,dimo,hop-protocol,dtravel,metis-token,akash-network,luckycoin,hytopia,near,joystream,music-protocol,boba-network,kaito,mantra-dao,mamo,virtual-protocol,ethena,voi-network,stride-staked-tia,story-2,publicai,avantis,ethena-staked-usde,starcoin,only1,audius,ultra,pooltogether,pkt,atomone																												
																												
																												
https://api.coingecko.com/api/v3/coins/markets?ids=cardano,algorand,cosmos,aptos,basic-attention-token,binancecoin,bitcoin,polkadot,ethereum,matic-network,alien-worlds,tether,tezos,wax,harmony,nexo,usd-coin,solana,bitsong,coinary-token,gala,immutable-x,celestia,gods-unchained,octorand,pyth-network,sentinel,jackal-protocol,arbitrum,osmosis,hivemapper,helium,dymension,sei-network,saga-2,ronin,nim-network,sui,dimo,hop-protocol,dtravel,metis-token,akash-network,luckycoin,hytopia,near,joystream,music-protocol,boba-network,kaito,mantra-dao,mamo,virtual-protocol,ethena,voi-network,stride-staked-tia,story-2,publicai,avantis,ethena-staked-usde,starcoin,only1,audius,ultra,pooltogether,pkt,atomone&vs_currency=gbp																												
/id	/symbol	/name	/image	/current_price	/market_cap	/market_cap_rank	/fully_diluted_valuation	/total_volume	/high_24h	/low_24h	/price_change_24h	/price_change_percentage_24h	/market_cap_change_24h	/market_cap_change_percentage_24h	/circulating_supply	/total_supply	/max_supply	/ath	/ath_change_percentage	/ath_date	/atl	/atl_change_percentage	/atl_date	/roi	/last_updated	/roi/times	/roi/currency	/roi/percentage
ethena	ena	Ethena	https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436	0.243201	1814759564	58	3666952603	316638197	0.262165	0.227463	0.00481959	2.0218	46253972	2.61543	7423437500	15000000000	10000000000	1.21	-79.77324	2024-04-11T13:15:15.057Z	0.148574	64.32816	2024-09-06T21:04:48.253Z		2025-11-08T09:50:34.999Z			
aptos	apt	Aptos	https://coin-images.coingecko.com/coins/images/26455/large/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140	2.35	1703820859	61	2798349633	490743152	2.48	2.17	0.066873	2.92385	61423624	3.73988	720501606.4244183	1183349408.212771	10000000000	16.05	-85.26741	2023-01-30T09:00:14.459Z	1.85	27.96378	2025-11-04T21:45:11.523Z		2025-11-08T09:50:31.442Z			
arbitrum	arb	Arbitrum	https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242	0.226055	1249440019	75	2267713039	249662837	0.236856	0.201227	0.01812362	8.71617	106838799	9.35049	5509691911	10000000000	10000000000	1.88	-87.88838	2024-01-12T12:29:59.231Z	0.156913	44.9394	2025-10-10T21:25:12.404Z		2025-11-08T09:50:31.985Z			
algorand	algo	Algorand	https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978	0.135727	1196762756	77	1196773674	90768420	0.141493	0.122173	0.01084023	8.68004	98286713	8.94755	8791532683.41251	8791612892.146427	10000000000	2.8	-95.13139	2019-06-20T14:51:19.480Z	0.069933	95.12701	2023-09-11T19:42:08.247Z		2025-11-08T09:50:31.685Z	-0.9255819123908037	usd	-92.55819123908036
cosmos	atom	Cosmos Hub	https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525	2.26	1083018893	82	1083034344	130063290	2.39	2.05	0.176085	8.44624	88512493	8.90014	477065792.506485	477072598.401503	10000000000	32.75	-93.05607	2022-01-07T10:44:20.650Z	0.924307	146.03312	2020-03-13T02:27:44.591Z		2025-11-08T09:50:32.348Z	28.7507437854372	usd	2875.07437854372
story-2	ip	Story	https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331	3	975872768	93	3073881686	39924702	3.09	2.67	0.233423	8.42271	82291602	9.20919	322987226.1	1017370862.11	10000000000	10.97	-72.47858	2025-09-21T21:07:34.521Z	0.805792	274.80072	2025-02-14T03:11:08.309Z		2025-11-08T09:50:31.244Z			
sei-network	sei	Sei	https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207	0.13977	873989956	103	1398632576	152849025	0.141299	0.120518	0.01559571	12.55952	97260318	12.52177	6248888888	10000000000	10000000000	0.895231	-84.33414	2024-03-16T02:30:23.904Z	0.078695	78.21499	2023-10-19T08:05:30.655Z		2025-11-08T09:50:31.421Z			
nexo	nexo	NEXO	https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360	0.821923	823088452	105	823088452	9084327	0.862849	0.787868	0.00088858	0.10823	4091731	0.4996	1000000000	1000000000	1000000000	2.89	-71.3897	2021-05-12T14:37:47.535Z	0.03461013	2285.91129	2018-09-13T00:00:00.000Z		2025-11-08T09:50:31.402Z	9.81569159684503	usd	981.569159684503
virtual-protocol	virtual	Virtuals Protocol	https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054	1.099	717399550	116	1093460158	119876127	1.2	0.957297	0.092097	9.14989	60796198	9.2592	656082020.5934123	1000000000	1000000000	4.04	-72.95292	2025-01-02T06:15:38.599Z	0.00590195	18427.09124	2024-01-23T20:55:21.653Z		2025-11-08T09:50:38.633Z			
celestia	tia	Celestia	https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772	0.792495	664603959	120	915536530	246624892	0.882802	0.618098	0.157315	24.76697	132746106	24.95894	835884158.721398	1151486492.715383	1000000000	16.51	-95.05007	2024-02-10T14:30:02.495Z	0.382554	113.63256	2025-10-10T21:28:04.078Z		2025-11-08T09:50:31.521Z			
immutable-x	imx	Immutable	https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787	0.328794	647538837	123	659255351	63455946	0.35064	0.306761	0.01153212	3.63489	24008628	3.85044	1964455307.3898141	2000000000	2000000000	7.15	-95.37978	2021-11-26T01:03:01.536Z	0.250449	31.95074	2025-10-10T21:28:36.503Z		2025-11-08T09:50:33.610Z			
tezos	xtz	Tezos	https://coin-images.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091	0.522308	558277884	134	568798056	94822563	0.566496	0.469197	0.03948847	8.17872	44898512	8.74568	1064600552.460193	1084663899.177061	2000000000	6.72	-92.17859	2021-10-04T00:41:18.025Z	0.274292	91.58443	2018-12-07T00:00:00.000Z		2025-11-08T09:50:31.497Z	0.4623520336610264	usd	46.23520336610264
pyth-network	pyth	Pyth Network	https://coin-images.coingecko.com/coins/images/31924/large/pyth.png?1701245725	0.078812	453205055	150	788185036	51837914	0.089279	0.069816	0.00709716	9.89641	39630498	9.58243	5749982983.283987	10000000000	10000000000	0.939728	-91.5782	2024-03-16T07:01:15.357Z	0.04996785	58.38587	2025-10-10T21:26:11.082Z		2025-11-08T09:50:31.783Z			
helium	hnt	Helium	https://coin-images.coingecko.com/coins/images/4284/large/helium_logo_use.png?1748092589	1.91	355384520	180	425344226	11088589	1.96	1.74	0.081488	4.46642	15731091	4.63151	186321438.090597	223000000	223000000	40.94	-95.34039	2021-11-12T23:08:25.301Z	0.090529	2007.13873	2020-04-18T00:19:10.902Z		2025-11-08T09:50:31.948Z			
gala	gala	GALA	https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869	0.00758921	354791273	181	354791273	92785118	0.00807094	0.00677077	0.00062362	8.95291	31111285	9.61174	46516167353.73871	46516167353.73871	50000000000	0.619729	-98.76498	2021-11-26T01:03:48.731Z	0.0000993	7607.94001	2020-12-28T08:46:48.367Z		2025-11-08T09:50:32.130Z			
basic-attention-token	bat	Basic Attention	https://coin-images.coingecko.com/coins/images/677/large/basic-attention-token.png?1696501867	0.16424	246734655	228	247442016	54931971	0.181491	0.159397	-0.002855068396991733	-1.70865	-3012714.0276055336	-1.2063	1495711956.9526057	1500000000	1500000000	1.42	-88.3656	2021-11-28T00:23:51.354Z	0.055226	200.08487	2017-07-16T00:00:00.000Z		2025-11-08T09:50:32.059Z	-0.5991572026856565	eth	-59.91572026856565
atomone	atone	AtomOne	https://coin-images.coingecko.com/coins/images/33230/large/atomone_200x200.jpg?1737579596	1.47	181349617	273	198757199	234209	1.57	1.41	0.055158	3.88857	6912814	3.96293	123062837.567142	134875525.364024	1500000000	12.61	-88.31553	2025-10-01T20:56:46.952Z	0.110205	1237.17808	2025-09-04T06:57:38.524Z		2025-11-08T09:50:32.105Z			
kaito	kaito	KAITO	https://coin-images.coingecko.com/coins/images/54411/large/Qm4DW488_400x400.jpg?1739552780	0.694386	168183727	284	696733507	16830689	0.716357	0.636224	0.04276572	6.56298	10952755	6.96603	241388889	1000000000	1000000000	2.28	-69.42342	2025-02-27T08:58:05.008Z	0.508905	36.73675	2025-04-17T14:41:51.327Z		2025-11-08T09:50:32.435Z			
ronin	ron	Ronin	https://coin-images.coingecko.com/coins/images/20009/large/photo_2024-04-06_22-52-24.jpg?1712415367	0.230915	166599450	287	231039381	8880632	0.238427	0.208929	0.01664207	7.76675	12156175	7.87096	721086808.9637812	1000000000	1000000000	3.52	-93.41971	2024-03-26T05:12:38.487Z	0.16537	40.07339	2022-06-18T20:50:54.917Z		2025-11-08T09:50:32.124Z			
akash-network	akt	Akash Network	https://coin-images.coingecko.com/coins/images/12785/large/akash-logo.png?1696512580	0.493936	138975363	319	139310821	13257166	0.529488	0.43212	0.04410459	9.8047	12066155	9.50771	281153492.73707	281832140.404035	388539008	5.84	-91.54307	2021-04-06T18:59:48.484Z	0.139673	253.66303	2022-11-21T20:30:53.727Z		2025-11-08T09:50:32.342Z			
avantis	avnt	Avantis	https://coin-images.coingecko.com/coins/images/68972/large/avnt-token.png?1757134448	0.430311	111168413	381	430541716	112094663	0.48616	0.377307	0.04072761	10.45415	10579037	10.51705	258205903.14667922	1000000000	1000000000	1.96	-78.00916	2025-09-22T00:21:56.300Z	0.138751	210.24374	2025-09-09T15:46:28.225Z		2025-11-08T09:50:39.157Z			
mantra-dao	om	MANTRA	https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991	0.074214	82216975	459	127964108	41122636	0.08077	0.068404	0.00480017	6.91528	5862584	7.67812	1101980029.213764	1715143261.608278	1000000000	7.11	-98.94973	2025-02-23T01:52:21.073Z	0.01387295	438.57692	2023-09-11T19:45:03.621Z		2025-11-08T09:50:32.888Z			
harmony	one	Harmony	https://coin-images.coingecko.com/coins/images/4344/large/Y88JAze.png?1696504947	0.00446832	66139697	520	66142493	12310428	0.0047658	0.00386355	0.00043015	10.65219	6334957	10.59273	14759578553.76291	14760202558.26291	1000000000	0.275197	-98.37048	2022-01-14T17:33:02.323Z	0.00101538	341.64648	2020-03-13T02:24:14.005Z		2025-11-08T09:50:36.621Z	0.8519248859801852	usd	85.19248859801851
osmosis	osmo	Osmosis	https://coin-images.coingecko.com/coins/images/16724/large/osmo.png?1696516298	0.081517	61359794	540	81198855	6651904	0.086133	0.074046	0.00609625	8.08301	5050994	8.97017	750719100	993444200	1000000000	8.44	-99.0316	2022-03-04T09:07:48.952Z	0.070133	16.58717	2025-11-04T21:42:49.994Z		2025-11-08T09:50:33.345Z			
metis-token	metis	Metis	https://coin-images.coingecko.com/coins/images/15595/large/Metis_Black_Bg.png?1702968192	7.55	50758156	605	75794254	24200675	8.28	7.48	-0.20128124475843379	-2.59759	-1080471.5120245665	-2.0843	6696834.342	10000000	10000000	236.59	-96.781	2022-01-16T20:14:31.709Z	2.44	212.24042	2021-05-23T17:07:45.384Z		2025-11-08T09:50:33.713Z			
audius	audio	Audius	https://coin-images.coingecko.com/coins/images/12913/large/audio-token-asset_2x.png?1747243328	0.02958801	40624429	686	40624429	6622929	0.03040835	0.02691888	0.00195829	7.08761	2680650	7.06479	1370768077	1370768077.975376	1370768077.975376	3.59	-99.17422	2021-03-27T15:45:35.137Z	0.02089017	42.02087	2025-10-10T21:38:24.587Z		2025-11-08T09:50:36.181Z			
hivemapper	honey	Hivemapper	https://coin-images.coingecko.com/coins/images/28388/large/honey.png?1696527388	0.00721045	37252454	729	46934247	26349124	0.00761462	0.00704365	-0.000144851166428279	-1.96934	-756013.1585179642	-1.98907	5167714123.960234	6510786358.112188	10000000000	0.299219	-97.5926	2023-12-12T13:44:51.303Z	0.00649708	10.87132	2023-07-17T12:04:32.197Z		2025-11-08T09:50:34.076Z			
wax	waxp	WAX	https://coin-images.coingecko.com/coins/images/1372/large/WAX_Coin_Tickers_P_512px.png?1696502430	0.00906873	31846806	804	34266184	2535198	0.00933958	0.0083009	0.00054775	6.42824	2004213	6.71595	3504099552.3982	3770303327	3770303327	2.05	-99.55501	2018-01-09T00:00:00.000Z	0.00748631	21.74778	2025-11-04T21:46:23.015Z		2025-11-08T09:50:34.433Z	-0.9627076747268948	usd	-96.27076747268949
dymension	dym	Dymension	https://coin-images.coingecko.com/coins/images/34182/large/dym.png?1704253006	0.076302	30589571	831	76626993	21976134	0.083793	0.064527	0.00841801	12.40058	3521881	13.01138	399200977	1000000000	3770303327	6.77	-98.86885	2024-02-14T14:29:43.198Z	0.04088972	87.39916	2025-10-10T21:33:16.617Z		2025-11-08T09:50:34.536Z			
saga-2	saga	Saga	https://coin-images.coingecko.com/coins/images/25691/large/zcPXETKs_400x400.jpg?1696524818	0.07611	24389010	955	82749779	23538822	0.078776	0.065451	0.00755718	11.02387	2559127	11.72305	318775048	1081575877	3770303327	5.99	-98.71969	2024-04-09T11:05:27.037Z	0.04789363	60.15794	2025-10-10T21:30:25.728Z		2025-11-08T09:50:35.064Z			
gods-unchained	gods	Gods Unchained	https://coin-images.coingecko.com/coins/images/17139/large/10631.png?1696516698	0.058144	22963706	987	29139704	830478	0.060657	0.05521	0.00184582	3.27865	753596	3.39303	394027780.0649	500000000	500000000	6.63	-99.12114	2021-12-10T21:07:56.477Z	0.050013	16.55821	2025-04-07T06:57:33.101Z		2025-11-08T09:50:35.160Z			
boba-network	boba	Boba Network	https://coin-images.coingecko.com/coins/images/20285/large/Boba-200x200---white.png?1696519690	0.04468746	22063759	1002	22349868	8483142	0.051943	0.04231499	0.00155189	3.59771	788671	3.70702	493599306	500000000	500000000	5.95	-99.24629	2021-11-25T20:48:25.017Z	0.04020211	11.53133	2025-11-04T21:53:19.493Z		2025-11-08T09:50:35.301Z			
alien-worlds	tlm	Alien Worlds	https://coin-images.coingecko.com/coins/images/14676/large/kY-C4o7RThfWrDQsLCAG4q4clZhBDDfJQVhWUEKxXAzyQYMj4Jmq1zmFwpRqxhAJFPOa0AsW_PTSshoPuMnXNwq3rU7Imp15QimXTjlXMx0nC088mt1rIwRs75GnLLugWjSllxgzvQ9YrP4tBgclK4_rb17hjnusGj_c0u2fx0AvVokjSNB-v2poTj0xT9BZRCbzR	0.00238185	14609432	1268	16316754	6810916	0.0024803	0.0021769	0.00014353	6.41259	890635	6.49208	6124593097.8257	6840339570.4705	10000000000	0.535249	-99.55346	2021-05-03T00:00:00.000Z	0.0017538	36.2822	2025-10-10T21:32:02.074Z		2025-11-08T09:50:36.386Z			
mamo	mamo	Mamo	https://coin-images.coingecko.com/coins/images/55958/large/Mamo_Circle_200x200_TransBG.png?1748974093	0.03262492	12961692	1358	32653161	1420223	0.03347639	0.02998751	0.00150227	4.82694	585291	4.72909	396950619.8233333	1000000000	1000000000	0.170497	-80.79568	2025-08-06T19:26:09.432Z	0.0094956	244.82155	2025-05-21T23:35:39.576Z		2025-11-08T09:50:36.815Z			
dimo	dimo	DIMO	https://coin-images.coingecko.com/coins/images/28383/large/square_coin_720.png?1732072773	0.01921387	7847638	1692	19213291	710355	0.02141474	0.01772717	0.00056089	3.00699	229125	3.00748	408448392.20882	1000000000	1000000000	0.620902	-96.90391	2023-12-19T06:24:55.918Z	0.01475167	30.31541	2025-11-06T18:55:46.756Z		2025-11-08T09:50:38.086Z			
ultra	uos	Ultra	https://coin-images.coingecko.com/coins/images/4480/large/Ultra.png?1696505069	0.01243976	5996482	1884	12460862	333071	0.01279224	0.01166053	0.00014839	1.20725	99059	1.67971	481225258.7714	1000000000	1000000000	1.86	-99.32341	2021-11-25T07:59:48.825Z	0.01138465	10.6704	2025-11-05T18:52:50.993Z		2025-11-08T09:50:39.040Z	-0.6726101986190898	usd	-67.26101986190898
publicai	public	PublicAI	https://coin-images.coingecko.com/coins/images/67977/large/publicai.jpg?1754478612	0.02300786	4601516	2070	23007581	1215704	0.02381001	0.02208149	0.00016992	0.74403	37971	0.83206	200000000	1000000000	1000000000	0.071742	-67.9292	2025-08-15T07:36:17.606Z	0.02010898	14.41773	2025-10-30T22:21:15.164Z		2025-11-08T09:50:39.811Z			
sentinel	p2p	Sentinel	https://coin-images.coingecko.com/coins/images/14879/large/SENTINEL_200x200.png?1761651729	0.00014195	4557988	2080	4684967	141852	0.00014772	0.0000996	0.00004236	42.52672	1344940	41.8587	32258509155.94864	33157186321	1000000000	0.03683115	-99.61556	2021-09-20T00:08:33.439Z	5.45207e-10	25970822.49657	2024-09-18T20:50:55.147Z		2025-11-08T09:50:40.328Z			
luckycoin	lky	Luckycoin	https://coin-images.coingecko.com/coins/images/207/large/luckycoin.png?1696501576	0.136976	2628768	2581	2628768	69670	0.141129	0.13562	-0.003020288362896001	-2.1574	-55128.66276135901	-2.05405	19210906.49640393	19210906.49640393	20000000	13.49	-98.9862	2024-11-25T08:25:46.116Z	0.00000769	1778034.24949	2015-02-11T00:00:00.000Z		2025-11-08T09:50:30.688Z			
jackal-protocol	jkl	Jackal Protocol	https://coin-images.coingecko.com/coins/images/28025/large/coingeckoJKL.png?1718409293	0.01827807	2262003	2727	3162520	13254.88	0.01938036	0.01747797	0.00066757	3.79076	83019	3.80998	123760309.189192	173030001.214538	400000000	0.849083	-97.84711	2024-07-09T14:14:39.476Z	0.01653405	10.55854	2025-11-03T16:14:44.695Z		2025-11-08T09:50:32.880Z			
dtravel	trvl	Dtravel	https://coin-images.coingecko.com/coins/images/20911/large/trvl.jpeg?1696520301	0.00354882	1607050	3063	3553739	447395	0.00366918	0.00329712	0.00003429	0.97567	17552.23	1.10426	452213892.6278101	1000000000	400000000	1.17	-99.69618	2021-11-28T06:37:48.030Z	0.00329712	7.71287	2025-11-07T14:45:32.400Z		2025-11-08T09:49:46.753Z			
only1	like	LIKE	https://coin-images.coingecko.com/coins/images/17501/large/LIKE_2x.png?1741248314	0.00367685	1453322	3187	1839145	259089	0.00389216	0.00328916	0.00037524	11.36549	153524	11.81139	395108022.1105239	500000000	500000000	0.752647	-99.51038	2021-09-07T06:10:27.957Z	0.00104435	252.86199	2023-08-06T07:56:36.793Z		2025-11-08T09:49:19.557Z			
pooltogether	pool	PoolTogether	https://coin-images.coingecko.com/coins/images/14003/large/PoolTogether.png?1696513732	0.118461	847531	3821	1181650	1672.2	0.11891	0.112483	0.00355705	3.09567	23389	2.838	7172433.994768333	10000000	10000000	38.52	-99.6933	2021-02-20T04:38:40.257Z	0.111906	5.56701	2025-11-04T21:37:41.479Z		2025-11-08T09:49:09.252Z			
stride-staked-tia	sttia	Stride Staked TIA	https://coin-images.coingecko.com/coins/images/34919/large/stTIA.png?1706956373	0.89149	722167	4016	722167	2240.35	0.996604	0.688996	0.172201	23.94048	142383	24.5579	806687.270713	806687.270713	10000000	16.43	-94.54962	2024-02-09T00:23:31.337Z	0.00000362	24707125.01352	2024-09-18T17:20:14.900Z		2025-11-08T09:50:24.156Z			
pkt	pkt	PKT	https://coin-images.coingecko.com/coins/images/15293/large/PKT_Icon_smaller_new-01.png?1696514944	0.00019606	715291	4035	1176389	21.11	0.00019765	0.00018131	0.00000827	4.40474	32762	4.80006	3648237445.290662	6000000000	6000000000	0.0183013	-98.92868	2022-04-01T20:23:38.205Z	0.00008591	128.21785	2024-08-07T22:07:17.344Z		2025-11-08T09:32:17.070Z			
voi-network	voi	VOI Network	https://coin-images.coingecko.com/coins/images/50410/large/PRIMARY_Voi_Logo_White_on_Purple_Background.png?1727813426	0.00030114	595445	4282	3015179	685.24	0.00030459	0.00028834	0.00000176	0.58649	6599.37	1.12073	1974825867.564045	10000000000	10000000000	0.01013568	-97.02518	2024-09-30T18:24:07.344Z	0.00028397	6.1779	2025-10-10T21:24:12.529Z		2025-11-08T09:50:23.322Z			
hop-protocol	hop	Hop Protocol	https://coin-images.coingecko.com/coins/images/25445/large/hop.png?1696524577	0.00457136	343869	5037	4571361	68.79	0.00469618	0.00416092	0.00009471	2.11565	7090.16	2.10529	75222483.07101855	1000000000	1000000000	0.242485	-98.1144	2023-03-20T16:14:36.301Z	0.00298659	53.09393	2025-04-07T07:35:32.887Z		2025-11-08T09:47:55.318Z			
joystream	joy	Joystream	https://coin-images.coingecko.com/coins/images/24785/large/joy.png?1696523945	0.00030659	337603	5067	341756	82785	0.00033487	0.00029551	-0.000019011450368786	-5.83892	-20983.218107993598	-5.85165	1101167283	1114714203	1000000000	0.04733735	-99.35216	2023-11-29T00:28:10.402Z	0.00025132	22.02401	2025-11-04T17:38:02.111Z		2025-11-08T09:49:57.221Z			
starcoin	stc	Starcoin	https://coin-images.coingecko.com/coins/images/20921/large/stc.png?1696520311	0.00078259	284412	5292	284479	9780.57	0.00082348	0.00077717	-0.000040885966732466	-4.96504	-14574.978117627848	-4.87479	363423274	363509084	3185136000	0.119005	-99.34241	2022-08-20T22:18:31.089Z	0.00039886	96.20306	2024-05-07T16:42:19.386Z		2025-11-08T09:46:41.006Z			
